language,english_concept,preferred_term,accepted_synonym,avoid_term,usage_context,evidence_url,notes
de,rotary joint,Drehdurchführung,Drehverbindung,"Rotationsverbindung; random use of Rotary Joint",Product titles H1 metadata and general industrial copy,https://www.deublin.eu/drehdurchfuehrungen,Drehgelenk remains acceptable only for a hose swivel or a similarly specific joint type
de,multi-passage rotary joint,Mehrwege-Drehdurchführung,Mehrkanal-Drehdurchführung,Mehrweg-Rotationsverbindung,Product family and selection copy,https://www.deublin.eu/mehrwege-drehdurchfuehrungen-840,Use a hyphenated compound consistently
de,compressed air,Druckluft,Pneumatik,Kompressionsluft,Medium and application labels,https://www.deublin.eu/drehdurchfuehrungen,Use Pneumatik for the system or application and Druckluft for the medium
de,working medium,Betriebsmedium,Medium,Arbeitsmedium,Technical specifications and RFQ forms,https://fluidhandling.kadant.com/de/produkte/drehdurchfuehrungen/standard-drehdurchfuehrungen,Betriebsmedium is the preferred form label
de,operating pressure,Betriebsdruck,Druck,Arbeitsdruck,Technical specifications,https://fluidhandling.kadant.com/de/produkte/drehdurchfuehrungen/standard-drehdurchfuehrungen,Druck is acceptable in compact tables
de,rotational speed,Drehzahl,Betriebsdrehzahl,Rotationsgeschwindigkeit,Technical specifications and RFQ forms,https://www.deublin.eu/drehdurchfuehrung-anfragen,Use Drehzahl with the stated unit
de,threaded rotor,Gewinderotor,Rotorausführung mit Gewinde,Schraubrotor,Mounting selection,https://www.deublin.eu/drehdurchfuehrung-anfragen,Do not confuse port thread with mounting style
de,flange rotor,Flanschrotor,Rotorausführung mit Flansch,Flansch-Rotor,Mounting selection,https://www.deublin.eu/drehdurchfuehrung-anfragen,Use only where rotor mounting is actually a flange
de,technical inquiry,Technische Anfrage,Technische Beratung,Technisches Zitat,Contact and CTA copy,https://www.deublin.eu/drehdurchfuehrung-anfragen,Use Anfrage for engineering review
de,request a quote,Angebot anfordern,Anfrage senden,schneller zitieren,RFQ buttons and helper copy,https://www.deublin.eu/drehdurchfuehrung-anfragen,Angebotsprüfung is natural for pre-quotation review
ja,rotary joint,ロータリージョイント,回転継手,ロータリージョイントの無作為な英字混在,Product titles H1 metadata and category copy,https://www.sealtech.co.jp/products/rotodisk.html,回転継手 is a valid explanatory synonym
ja,rotary union,ロータリーユニオン,ロータリージョイント,ローテーションユニオン,Secondary synonym and international product context,https://www.rix.co.jp/products_services/products/category/rotary/post_6/,Do not rotate the primary keyword page by page
ja,pneumatic use,空圧用,空気圧用,圧縮空気のため,Product type and application copy,https://www.rix.co.jp/products_services/products/category/rotary/_2ees-2p03/,Use only where the product facts authorize air service
ja,working fluid,使用流体,流体,ワーキング使用流体,Technical specifications and RFQ forms,https://www.rix.co.jp/products_services/products/category/rotary/_2ees-2p03/,Do not add a medium that is not approved
ja,working pressure,使用圧力,圧力,ワーキング圧力,Technical specifications,https://www.rix.co.jp/products_services/products/category/rotary/post_6/,Use the existing verified value and unit unchanged
ja,maximum rotational speed,最高回転数,回転数,最大RPM,Technical specifications,https://www.rix.co.jp/products_services/products/category/rotary/post_6/,Use 回転数 in compact form fields
ja,passage,流路,ポート,チャンネル,Passage count and product filters,https://www.sealtech.co.jp/products/rotopack.html,ポート数 is acceptable only when the source concept is actually port count
ja,port count,ポート数,流路数,チャンネル数,Product specifications,https://www.sealtech.co.jp/products/rotopack.html,Keep passage count and physical port count distinct
ja,connection size,接続口径,接続ねじ,ポートのサイズ,Technical specifications and RFQ forms,https://www.sealtech.co.jp/products/rotopack.html,Choose 接続ねじ when the fact is specifically a thread
ja,mounting method,取付方法,取付形式,マウンティング,Technical specifications and RFQ forms,https://www.rix.co.jp/products_services/products/category/rotary/post_6/,Do not infer a mounting type from a port thread
ja,request a quote,見積依頼,お見積もり,より速く引用する,Contact CTA and helper copy,https://www.rix.co.jp/contact/,Use technical consultation separately when the user needs model selection
ja,technical consultation,技術相談,選定相談,エンジニアがお勧めする,Contact CTA and RFQ option,https://www.rix.co.jp/contact/,選定相談 is concise for the form option
ru,rotary joint,ротационное соединение,вращающееся соединение,random alternation between both terms,Product titles H1 metadata and general industrial copy,https://rotaryjoint.ru/products/,Use the accepted synonym only as an explanation or when a source family uses it
ru,pneumatic rotary joint,пневматическое ротационное соединение,ротационное соединение для сжатого воздуха,пневматический ротационное соединение,Product type and application copy,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Adjective agreement must be neuter singular
ru,multi-channel rotary joint,многоканальное ротационное соединение,многопортовое ротационное соединение,высококанальный трансфер,Product family and selection copy,https://vertlux.ru/products/,Use многопортовое only when the context is ports rather than independent passages
ru,working medium,рабочая среда,среда,рабочие среды,Technical specifications and RFQ forms,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Use singular for a single form field
ru,operating pressure,рабочее давление,давление,рабочий нажим,Technical specifications,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Keep the verified number and unit unchanged
ru,rotational speed,скорость вращения,частота вращения,обороты,Technical specifications and RFQ forms,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Частота вращения is preferred in the RFQ form
ru,passage count,количество каналов,число каналов,проходы,Technical specifications and RFQ forms,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Do not translate passage as a pedestrian passage
ru,connection size,присоединительный размер,присоединительная резьба,размер порта,Technical specifications and RFQ forms,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Use резьба only when the connection fact is a thread
ru,mounting,монтаж,тип крепления,маунтинг,Technical specifications and RFQ forms,https://fluidhandling.kadant.com/ru/produktsiya/vrashchayushchiesya-golovki-i-soedineniya/standartnye-vrashchayushchiesya-golovki/vrashchayushchiesya-golovki-rx,Do not infer mounting from a port thread
ru,technical inquiry,технический запрос,техническая консультация,техническая цитата,Contact CTA and helper copy,https://fluidhandling.kadant.com/ru/produktsiya/vrashchayushchiesya-golovki-i-soedineniya/standartnye-vrashchayushchiesya-golovki/vrashchayushchiesya-golovki-rx,Use consultation for selection help
ru,request a quote,запросить предложение,отправить запрос,быстрее цитировать,RFQ buttons and helper copy,https://feedsystems.ru/products/rotatsionnoe-soedinenie/,Коммерческое предложение may be used when the commercial document is meant
