model,product_name,catalog_category,passages,channel_configuration,port_thread,maximum_pressure_mpa,maximum_pressure_bar,maximum_speed_rpm,temperature_min_c,temperature_max_c,body_material,seal_material,compatible_media,mounting_type,weight_kg,main_image,drawing_pdf,product_page_url,drawing_download_url,verification_status,catalog_inclusion_status,conflicting_fields,resolved_fields
BP-1P-0003,— 1-in-1-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,1,1-in-1-out (single passage),G3/8 inlet; M10 x 1.5 outlet,1.0,10.0,500,-20,80,Steel 45#,"PTFE, O-Ring",Air | oil | water,Threaded connection,0.27,assets/products/BP-1P-0003-1.png,assets/drawings/BP-1P-0003.pdf,https://www.begapunk.com/BP-1P-0003.html,https://www.begapunk.com/downloads/BP-1P-0003.pdf,VERIFIED,INCLUDE,,Net Weight | Maximum Temperature | Body Material
BP-1P-0006,1-in-8-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,1,1 inlet / 8 outlets,G1/8 inlet; 8 x G1/8 outlets,1.0,10.0,300,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,4 x M4 mounting holes at each end,0.265,assets/products/BP-1P-0006-1.png,assets/drawings/BP-1P-0006.pdf,https://www.begapunk.com/BP-1P-0006.html,https://www.begapunk.com/downloads/BP-1P-0006.pdf,VERIFIED,INCLUDE,,Channel Configuration
BP-2P-0001,2-in-2-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,2-in-2-out (dual passage),2 x G1/8 inlets; 2 x G1/8 outlets,1.0,10.0,200,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,4 x M5 rotor mount; 4 x M5 anti-rotation mount,0.39,assets/products/BP-2P-0001-1.png,assets/drawings/BP-2P-0001.pdf,https://www.begapunk.com/BP-2P-0001.html,https://www.begapunk.com/downloads/BP-2P-0001.pdf,VERIFIED,INCLUDE,,Net Weight | Body Material
BP-2P-0002,2-in-3-out (4mm) Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,"2-in-3-out (2 inlets, 3 outlets)",G1/4 and G1/8 ports; see drawing,1.0,10.0,300,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,"M5, M6 and M8 mounting features; see drawing",0.22,assets/products/BP-2P-0002-1.png,assets/drawings/BP-2P-0002.pdf,https://www.begapunk.com/BP-2P-0002.html,https://www.begapunk.com/downloads/BP-2P-0002.pdf,VERIFIED,INCLUDE,,
BP-2P-08-0001,2-in-2-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,2 Passages (2-in-2-out),2 x G1/8 inlets; 2 x G1/8 outlets,1.0,10.0,200,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,"4 x M4, depth 10 mm",0.39,assets/products/BP-2P-08-0001-1.png,assets/drawings/BP-2P-08-0001.pdf,https://www.begapunk.com/BP-2P-08-0001.html,https://www.begapunk.com/downloads/BP-2P-08-0001.pdf,VERIFIED,INCLUDE,,Net Weight
BP-2P-130-0001,2-in-2-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,2-in-2-out (dual passage),2 x G1/8 ports; see drawing,5.0,50.0,80,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,M10 mounting features; see drawing,8.655,assets/products/BP-2P-130-0001-1.png,assets/drawings/BP-2P-130-0001.pdf,https://www.begapunk.com/BP-2P-130-0001.html,https://www.begapunk.com/downloads/BP-2P-130-0001.pdf,VERIFIED,INCLUDE,,Body Material
BP-2P-16-0001,2-in-2-out (16mm Bore) Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,2-in-2-out (16mm Bore),2 x G1/8 inlets; 2 x G1/8 outlets,1.0,10.0,200,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,4 x M5 stator mount; 4 x M5 rotor mount,0.41,assets/products/BP-2P-16-0001-1.png,assets/drawings/BP-2P-16-0001.pdf,https://www.begapunk.com/BP-2P-16-0001.html,https://www.begapunk.com/downloads/BP-2P-16-0001.pdf,VERIFIED,INCLUDE,,Net Weight
BP-2P-30-0001,2-in-2-out (Ø30mm) Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,2-in-2-out (dual passage),2 x G1/8 inlets; 2 x G1/8 outlets,1.0,10.0,150,-20,80,Aluminum Alloy 6061,,Air,4 x M5 mounting holes at each end,0.39,assets/products/BP-2P-30-0001-1.png,assets/drawings/BP-2P-30-0001.pdf,https://www.begapunk.com/BP-2P-30-0001.html,https://www.begapunk.com/downloads/BP-2P-30-0001.pdf,PARTIALLY_VERIFIED,INCLUDE,,Net Weight
BP-2P-50-0001,2-in-2-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,2-in-2-out (dual passage),2 x G1/8 inlets; 2 x G1/8 outlets,1.0,10.0,100,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,"4 x M5 stator mount, depth 10 mm; 6 x M5 rotor mount, depth 8 mm",2.3,assets/products/BP-2P-50-0001-1.png,assets/drawings/BP-2P-50-0001.pdf,https://www.begapunk.com/BP-2P-50-0001.html,https://www.begapunk.com/downloads/BP-2P-50-0001.pdf,VERIFIED,INCLUDE,,Net Weight
BP-2P-95-0001,2-in-4-out Rotary Joint,Air Rotary Union / Pneumatic Rotary Joint,2,"2-in-4-out (2 inlets, 4 outlets)",G1/8 ports; 2 x M10 anti-rotation ports,1.0,10.0,200,-20,80,Aluminum Alloy 6061,"PTFE, O-Ring",Air,"6 x M5 and 8 x M8 mounting holes, depth 12 mm",4.26,assets/products/BP-2P-95-0001-1.png,assets/drawings/BP-2P-95-0001.pdf,https://www.begapunk.com/BP-2P-95-0001.html,https://www.begapunk.com/downloads/BP-2P-95-0001.pdf,PARTIALLY_VERIFIED,INCLUDE,,Maximum Pressure | Body Material
