conflict_id,model,fact_type,web_value,web_source,pdf_value,pdf_source,spreadsheet_value,spreadsheet_source,other_value,other_source,document_revision,document_date,evidence_quality,business_risk,customer_impact,codex_can_resolve,user_decision,confirmed_value,confirmed_scope,authoritative_source,website_change_allowed,blocked_by,notes
P1EA-001,BP-1P-0003,operating_temperature,-20°C to +120°C,BP-1P-0003.html lines 60 and 254,-20°C to +80°C,downloads/BP-1P-0003.pdf page 1,-20°C to +80°C,downloads/BP-1P-0003_参数表.xlsx Sheet1 cells A12:B12,,,Revision not stated; document control QC-2025-0822-001,2025-08-22,PDF and XLSX agree but current production revision is unconfirmed,critical,Customer may select the product above the documented temperature range,no,,,,,,none,Do not infer whether +120°C is an optional seal version
P1EA-002,BP-1P-0003,material_and_surface_treatment,45# steel standard / 6061-T6 aluminum option,BP-1P-0003.html lines 57 251 and 263,Material Steel 45#; Surface Treatment Anodized (Aluminum),downloads/BP-1P-0003.pdf page 1,Body material 45# steel,downloads/BP-1P-0003_参数表.xlsx Sheet1 cells A9:B9,,,Revision not stated; document control QC-2025-0822-001,2025-08-22,PDF contains an internal material/treatment contradiction,high,Customer may misunderstand corrosion resistance material certificate and purchasable version,no,,,,,,none,Material and surface treatment must be confirmed together by component/version
P1EA-003,BP-2P-0001,weight,Approx. 0.85 kg,BP-2P-0001.html lines 66 and 266,390 g (0.39 kg),downloads/BP-2P-0001.pdf page 1,,,390 g,downloads/BP-2P-0001_draft.pdf page 1,Revision not stated; document control QC-2025-0512-003,2025-05-12,Final and draft PDF agree but configuration and weighing scope are unconfirmed,high,Incorrect mass can affect rotary inertia mounting load and shipping estimates,no,,,,,,none,Draft PDF is corroborating context only and not an independent controlled source
P1EA-004,BP-2P-0001,component_materials,AL6061 body + 45# steel shaft,BP-2P-0001.html lines 62 186 262 and 273,Material field lists Aluminum Alloy 6061,downloads/BP-2P-0001.pdf page 1,,,Material field also lists Aluminum Alloy 6061,downloads/BP-2P-0001_draft.pdf page 1,Revision not stated; document control QC-2025-0512-003,2025-05-12,PDF may identify only the main housing material and no current BOM was found,high,Customer cannot determine which components are steel or what certificates should cover,no,,,,,,none,Confirm component-level BOM rather than treating the drawing material field as a complete BOM
P1EA-005,BP-2P-30-0001,model_identity,BP-2P-30-0001,BP-2P-30-0001.html lines 6 48 189 and 263,BP-3P-30-0001,downloads/BP-2P-30-0001.pdf page 1,,,Filename and PDF metadata title say BP-2P-30-0001,downloads/BP-2P-30-0001.pdf filename and metadata,Revision not stated; document control QC-2022-0822-003,2022-08-22,PDF filename/metadata conflict with its internal controlled title block,critical,Customer may download or approve a drawing for the wrong passage count/model,no,,,,,,none,Do not decide model identity from the filename
P1EA-006,BP-2P-95-0001,model_identity,BP-2P-95-0001,BP-2P-95-0001.html lines 6 48 185 and 258,BP-2P-95-0005,downloads/BP-2P-95-0001.pdf page 1,,,PDF metadata title BP-2P-95-005,downloads/BP-2P-95-0001.pdf metadata,Revision not stated; document control QC-2025-0512-003,2025-05-12,PDF internal title and metadata support 0005/005 while filename and website say 0001,critical,Wrong model identity can invalidate pressure selection quotation and purchasing,no,,,,,,none,Resolve before any BP-2P-95 pressure change
P1EA-007,BP-2P-95 family,rated_pressure,10 MPa,BP-2P-95-0001.html lines 59 and 261,1 MPa for internally titled BP-2P-95-0005,downloads/BP-2P-95-0001.pdf page 1,,,10 MPa repeated in product comparison,product-comparison.html lines 209-214,Revision not stated; document control QC-2025-0512-003,2025-05-12,Values differ by 10x and are attached to unresolved model identities,critical,Incorrect pressure selection presents equipment and personnel safety risk,no,,,,,,P1EA-006,Confirm separate approved pressure envelopes for 0001 and 0005
P1EA-008,BP-4P-30-0001,max_speed,80 RPM,BP-4P-30-0001.html lines 56 and 245,200 RPM,downloads/BP-4P-30-0001.pdf page 1,,,80 RPM repeated in product comparison,product-comparison.html lines 279-284,Revision not stated; document control QC-2020-0402-001,2020-04-02,Possible maximum/continuous distinction but neither source establishes it,critical,Incorrect speed can affect duty cycle heat generation and seal life,no,,,,,,none,Confirm maximum continuous and intermittent ratings with operating conditions
P1EA-009,BP-2P-50-0001,weight,Approx. 4.26 kg,BP-2P-50-0001.html lines 67 and 267,2300 g (2.30 kg),downloads/BP-2P-50-0001.pdf page 1,,,PDF metadata title BP-2P-50-001,downloads/BP-2P-50-0001.pdf metadata,Revision not stated; document control QC-2023-0806-001,2023-08-06,Large discrepancy and PDF metadata has a model-number formatting inconsistency,high,Incorrect mass can affect inertia structural support and shipping estimates,no,,,,,,none,Confirm complete assembly scope and current drawing
P1EA-010,BP-3P-0004,weight,Approx. 0.45 kg,BP-3P-0004.html lines 66 and 265,490 g (0.49 kg),downloads/BP-3P-0004.pdf page 1,,,,,Revision not stated; document control QC-2025-0922-001,2025-09-22,Difference may be rounding or assembly scope but no approved tolerance was found,medium,Inconsistent weight reduces catalog reliability and may affect payload calculations,no,,,,,,none,Confirm nominal value tolerance included hardware and rounding policy
P1EA-011,BP-2P-95-0001,test_pressure,12 MPa,BP-2P-95-0001.html lines 255 261 and 498,No direct numeric test pressure; note says 1.5x rated pressure,downloads/BP-2P-95-0001.pdf page 1,,,1.5x rule would imply 15 MPa only if 10 MPa rated pressure is first accepted,faq.html lines 209 and 701,Revision not stated; document control QC-2025-0512-003,2025-05-12,Dependent inference is not a test record and model/rated pressure remain unresolved,critical,Incorrect test-pressure claim can misstate verification and safety margin,no,,,,,,P1EA-006; P1EA-007; approved test method,等待测试方法确认，暂不裁决；do not ask user to choose 12 MPa or 15 MPa yet
