claim_id,page,section,phase_1c_a_flag,actual_source_changed,actual_rendered_text_changed,corrected_flag,reason,validation_status
P1B-004,contact.html,Contact method,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-004,faq.html,Quotation process,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-006,BP-2P-16-0001.html,Application fit introduction,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-006,BP-2P-30-0001.html,Application fit introduction,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-006,BP-2P-50-0001.html,Application fit introduction,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-006,BP-2P-95-0001.html,Application fit introduction,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-009,BP-2P-30-0001.html,Key benefits,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-009,BP-3P-S06-0001.html,Key benefits,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-017,application-automation-rotary-tables.html,Preventive replacement schedule,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-044,blog-threaded-vs-flange.html,Common installation errors table,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
P1B-059,faq.html,Seal replacement FAQPage JSON-LD,no,yes,no,no,Correct: this record changes FAQPage JSON-LD only; the corresponding visible FAQ is tracked separately.,pass
P1B-059,faq.html,Seal replacement FAQ,no,yes,yes,yes,"The source replacement is present and the changed wording is visible in the rendered page, including content reached through the page's normal tabs or controls.",pass
