fact_type,subject,page_a,value_a,page_b,value_b,risk,possible_explanation,required_confirmation,recommended_action
company_name,Company/brand identity,about.html,"Ningbo Begapunk Pneumatic Components Co., Ltd.",sitewide metadata,Begapunk Precision Machinery,high,One may be the legal entity and the other a brand/trading name.,Confirm legal Chinese/English names and brand ownership.,Use explicit legalName and brand relationship only after documentation.
certification_scope,ISO 9001,about.html / faq.html,Company quality-management system certified,BP product pages,All versions/products are ISO9001 certified,high,A company QMS certificate is not automatically a product certification.,"Provide current certificate entity, scope, number and validity.",Separate QMS wording from product-level claims.
certification_scope,CE and RoHS,BP product pages,Blanket CE and RoHS certification,downloads/,No declaration/report file found,high,Documents may exist outside this repository.,Map declarations/reports to models and revisions.,Pause blanket scope until mapped.
delivery_time,Standard models,BP product pages,Ships in 7 days,index.html / products pages,7-14 day delivery worldwide,medium,Seven days may mean production time while 7-14 may include transit.,"Define production, dispatch and transit separately.",Publish scoped ranges with an as-of date.
delivery_time,Custom designs,BP product templates,Typical custom lead time 10-14 days,BP-3P-0007.html / application content,14-21 days or 3 weeks plus shipping,medium,Different customization complexity may explain the ranges.,Define customization tiers and whether shipping is included.,Use tiered conditional ranges.
test_method,General pre-shipment pressure test,faq.html / about.html,1.5x rated pressure; one page states 30 minutes,BP-8P-0001.html,1.0 MPa for 60 seconds,high,"Model-specific procedures may differ, but scope is not stated.",Provide approved procedure by model family.,"State model, pressure, medium, duration and acceptance threshold."
test_pressure,BP-2P-95-0001,BP-2P-95-0001.html,12 MPa pre-shipment test; rated 10 MPa,faq.html,1.5x rated pressure would equal 15 MPa,critical,The general rule and model-specific value cannot both apply without an exception.,Confirm approved test pressure and duration for this model.,Do not publish either value until reconciled.
temperature,BP-1P-0003,BP-1P-0003.html,-20°C to +120°C,downloads/BP-1P-0003.pdf and XLSX,-20°C to +80°C,critical,"The webpage may describe an option, but it labels the value as the model operating range.",Confirm standard and optional seal/body temperature ranges.,Use the approved datasheet value and identify options separately.
weight,BP-2P-0001,BP-2P-0001.html,0.85 kg,downloads/BP-2P-0001.pdf,390 g = 0.39 kg,high,A revision or configuration difference is possible.,Confirm current drawing revision and assembled net weight.,Update all occurrences from one approved source.
model_identity,BP-2P-30-0001,BP-2P-30-0001.html,Model BP-2P-30-0001,downloads/BP-2P-30-0001.pdf,Internal title BP-3P-30-0001,critical,The PDF may be misnamed or the title block may be wrong.,Engineering must identify the correct drawing/model.,Do not use the PDF as evidence until corrected.
model_identity,BP-2P-95-0001,BP-2P-95-0001.html,Model BP-2P-95-0001,downloads/BP-2P-95-0001.pdf,Internal title BP-2P-95-0005,critical,The PDF may belong to a different revision/model.,Engineering must identify the correct model and drawing.,Do not use this PDF as evidence for BP-2P-95-0001.
pressure,BP-2P-95 family,BP-2P-95-0001.html,10 MPa,downloads/BP-2P-95-0001.pdf,1 MPa for internally titled BP-2P-95-0005,critical,The mismatch may be model-specific rather than a unit conversion.,Provide the approved BP-2P-95-0001 drawing and pressure envelope.,Pause 10 MPa combined-performance claims pending confirmation.
speed,BP-4P-30-0001,BP-4P-30-0001.html,80 RPM,downloads/BP-4P-30-0001.pdf,200 RPM,critical,"One value may be continuous and the other maximum, but neither source states that distinction clearly.","Confirm maximum, continuous and intermittent RPM.",Label each rating explicitly after engineering approval.
weight,BP-2P-50-0001,BP-2P-50-0001.html,4.26 kg,downloads/BP-2P-50-0001.pdf,2300 g = 2.30 kg,high,A configuration or revision difference is possible.,Confirm current assembled weight and drawing revision.,Correct all page and Schema values together.
weight,BP-3P-0004,BP-3P-0004.html,0.45 kg,downloads/BP-3P-0004.pdf,490 g = 0.49 kg,medium,Rounding does not explain a 40 g difference unless 'approximate' tolerance is approved.,Confirm nominal weight and tolerance.,Use one approved rounded value.
material,BP-2P-0001,BP-2P-0001.html,AL6061 body plus 45# steel shaft,downloads/BP-2P-0001.pdf,Material field lists Aluminum Alloy 6061,high,The drawing may list only the main body material.,Confirm BOM and which components use 45# steel.,Describe component-level materials from the BOM.
surface_treatment,BP-1P-0003,BP-1P-0003.html,45# steel standard; nickel plating recommended/optional,downloads/BP-1P-0003.pdf,Material 45# steel but surface treatment says Anodized (Aluminum),high,The drawing appears to contain a template carry-over or option mix.,Confirm standard material and surface treatment by version.,Correct the drawing/page source before publishing treatment claims.
