claim_id,page,section,before,after,scenario_detail_preserved,new_numeric_claim_added,validation_status
P1B-037,application-automation-rotary-tables.html,Combined utilities,An integrated pneumatic and electrical solution may be considered when the required air passages and electrical circuits exceed the capacity of a pneumatic-only rotary union.,"A separate pneumatic rotary union and slip ring may be suitable when the pneumatic and electrical functions can be packaged independently and the available installation space supports two components. An integrated pneumatic-electrical solution may be considered when a single compact assembly, coordinated mounting, or a higher combined channel density is required. Final selection depends on the pneumatic passage count, bore requirements, electrical circuits, signal type, speed, installation envelope, and service access.",yes,no,pass
P1B-015,application-automation-rotary-tables.html,Preventive replacement schedule,"<strong>Continuous rotation (PTFE seals):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>Continuous rotation (PTFE seals):</strong> For continuous rotation, establish the inspection and replacement interval from accumulated runtime, operating speed, temperature, medium, leakage trend, operating torque, and seal condition recorded during planned stops.",yes,no,pass
P1B-016,application-automation-rotary-tables.html,Preventive replacement schedule,"<strong>Indexing tables (FKM seals):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>Indexing tables (FKM seals):</strong> For indexing service, establish the interval from stop-start cycle count, pressure variation, alignment, temperature, leakage trend, and observed seal wear.",yes,no,pass
P1B-017,application-automation-rotary-tables.html,Preventive replacement schedule,"<strong>High-cycle lines (>200 RPM, 24/7):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>High-cycle lines (>200 RPM, 24/7):</strong> For high-speed continuous service, determine inspection frequency from accumulated runtime, actual speed, temperature, leakage trend, torque trend, and planned maintenance records.",yes,no,pass
P1B-015,application-bottle-filling-capping.html,Preventive replacement schedule,"<strong>Food-grade PTFE seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>Food-grade PTFE seals:</strong> For food-grade PTFE sealing configurations, set the inspection interval from sanitation procedures, medium compatibility, cleaning temperature, operating duty, leakage observations, and documented inspection results.",yes,no,pass
P1B-016,application-bottle-filling-capping.html,Preventive replacement schedule,"<strong>Food-grade FKM seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>Food-grade FKM seals:</strong> For food-grade FKM sealing configurations, set the interval from the cleaning process, medium, temperature exposure, operating cycles, leakage observations, and documented seal condition.",yes,no,pass
P1B-016,application-bottle-filling-capping.html,Preventive replacement schedule,"<strong>Steam sterilization lines:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>Steam sterilization lines:</strong> For steam-sterilized applications, review seal condition in relation to sterilization-cycle count, temperature exposure, medium, pressure, and documented inspection results.",yes,no,pass
P1B-015,application-packaging-machinery.html,Preventive replacement schedule,"<strong>PTFE seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>PTFE seals:</strong> For PTFE sealing configurations in packaging machinery, determine the interval from machine cycle count, medium, pressure, speed, temperature, leakage trend, and inspection history.",yes,no,pass
P1B-016,application-packaging-machinery.html,Preventive replacement schedule,"<strong>FKM seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>FKM seals:</strong> For FKM sealing configurations, determine the interval from operating cycles, medium compatibility, temperature, pressure variation, leakage observations, and recorded seal condition.",yes,no,pass
P1B-016,application-packaging-machinery.html,Preventive replacement schedule,"<strong>Food-grade lines:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.","<strong>Food-grade lines:</strong> For food-grade lines, align inspection and replacement decisions with the site's sanitation procedure, operating conditions, contamination-control requirements, and documented inspection results.",yes,no,pass
