page,exact_claim,claim_type,risk_level,why_evidence_is_needed,suggested_evidence,action,manual_verification
about.html,"Made in Ningbo, delivered worldwide.",business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,"Our factory covers 3,200 square meters with 28 CNC machines, 6 seal testing stations, and a dedicated R&D lab.",business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,"1.5× rated pressure, 30 minutes, zero leakage pass.",business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,Delivered first multi-channel (6-passage) rotary joint for wind turbine application.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,"200,000 Units Milestone",business_metric,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,"Cumulative production exceeded 200,000 units.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,Production Manager ISO 9001 Lead Auditor,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
about.html,Tell us your requirements and we'll provide a quote within 24 hours.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,The challenge is not just transferring air — it is keeping 4–8 independent channels from cross-contaminating while sharing a 30–50 mm diameter body.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Machine builders specify exactly the channels needed today, with no room for the sensor or gripper the customer adds 12 months later.",business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Indexing tables (60–120 RPM, stop-start) can use FKM seals; continuous rotation stations need PTFE",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Pressure: 0.3–0.8 MPa (clamping / actuation) / -0.04 to -0.08 MPa (vacuum) — derate 30% for continuous duty,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
