"file","git_status","classification","referenced_by_site","contains_possible_secret","recommended_git_action","reason","manual_review_required"
".env.example","untracked","E - security-sensitive runtime/config candidate","not-applicable","no","commit-after-secret-review","May reference runtime configuration; scanned with no embedded secret found","yes"
".gitignore","modified","A - formal website source","not-applicable","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
".htaccess","modified","E - security-sensitive runtime/config candidate","yes","no","commit-after-secret-review","May reference runtime configuration; scanned with no embedded secret found","yes"
"404.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"about.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-automation-rotary-tables.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-bottle-filling-capping.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-cnc-pneumatic-clamping.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-electronics-battery-test-fixtures.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-laser-tube-cutting.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-packaging-machinery.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-pneumatic-tools-hose-anti-twist.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-robot-end-of-arm-tooling.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"applications.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-steel-dusty-environments.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-textile-printing-converting.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-vacuum-packaging-machines.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"application-welding-positioners.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"audit/geo-audit/__pycache__/audit_geo.cpython-313.pyc","ignored-or-untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/audit_geo.py","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/audit-summary.json","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/claims-needing-evidence.csv","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/duplicate-content-groups.csv","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/geo-page-by-page-audit.md","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/geo-priority-roadmap.md","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/geo-sitewide-audit.md","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/geo-audit/missing-content-opportunities.md","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
