claim_id,root_claim,claim_variants,category,all_pages,occurrence_count,template_generated,visible_context_summary,existing_evidence_files,evidence_level,evidence_limitations,conflicting_values,decision_class,risk_level,business_importance,recommended_action,safe_replacement_draft,required_user_answer,required_evidence,can_change_in_phase_1c,manual_approval_required
P1B-001,"Product-level ISO 9001, CE and RoHS scope claims","Certifications ISO 9001:2015, CE, RoHS || The export version includes English-language documentation, CE marking, and RoHS compliance certificate. || All versions are manufactured under ISO 9001:2015 quality management and carry CE and RoHS certifications.",E,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,26,yes,"Phase 1A source IDs: HR-001; HR-007; HR-010. || BP-1P-0003.html: 0.02–0.04 N·m (air) / 0.03–0.05 N·m (water) || Certifications || ISO 9001:2015, CE, RoHS || BP-1P-0006.html: ≥8,000 hours (rated conditions) || Certifications || ISO 9001:2015, CE, RoHS || BP-2P-0001.html: Approx. 0.85 kg || Certifications || ISO 9001:2015, CE, RoHS || BP-2P-0002.html: ≥8,000 hours (rated conditions) || Certifications || ISO 9001:2015, CE, RoHS || Template/variant also appears on 12 additional listed page(s).",none found,E1,"Drawings may identify material, but no traceability certificate, hardness report, coating report, or RoHS declaration was found. No certificate or declaration file with entity, scope, validity period, and applicable models was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-002,ISO 9001 quality-system claims,All versions are ISO9001 certified. || All versions are manufactured to the same ISO 9001:2015 quality system and undergo 100% pressure testing before shipment. || Our quality management system is ISO 9001:2015 certified.,C; E,BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html; faq.html,12,yes,"Phase 1A source IDs: HR-005; HR-009; HR-092. || BP-1P-0006.html: Frequently Asked Questions || The standard version uses AL6061 aluminum alloy body with PTFE composite seal for lightweight and corrosion-resistant operation. All versions are manufactured to the same ISO 9001:2015 quality system and undergo 100% pressure testing before shipment. The domestic and export designations refer only to packaging and documentation language — the product itself is identical. For full steel body options or custom materials, contact our engineering team. || Yes — the PTFE composite seal is compatible with water, water-soluble coolant, and light hydraulic oil (up to ISO VG 32). For continuous water duty, derate pressure to 0.7 MPa and speed to 200 RPM to reduce seal wear. The AL6061 body has good corrosion resistance for intermittent water exposure thanks to its anodized surface, but continuous immersion in aggressive coolant or caustic washdown requires additional || BP-2P-0001.html: Frequently Asked Questions || The standard version uses AL6061 + 45# steel construction combining a lightweight AL6061 body with a high-strength 45# steel shaft. All versions are manufactured to the same ISO 9001:2015 quality system and undergo 100% pressure testing before shipment. The domestic and export designations refer only to packaging and documentation language — the product itself is identical. For full steel body options or custom materials, contact our engineering team. || Yes — the PTFE composite seal is compatible with water, water-soluble coolant, and light hydraulic oil (up to ISO VG 32). For continuous water duty, derate pressure to 0.7 MPa and speed to 150 RPM to reduce seal wear. The 45# steel shaft provides good corrosion resistance for intermittent water exposure, but continuous immersion requires nickel plating or stainless steel (304/316) specification. The AL6061 b || BP-2P-0002.html: Frequently Asked Questions || The standard version uses AL6061 aluminum alloy body with PTFE composite seal for lightweight and corrosion-resistant operation. All versions are manufactured to the same ISO 9001:2015 quality system and undergo 100% pressure testing before shipment. The domestic and export designations refer only to packaging and documentation language — the product itself is identical. For full steel body options or custom materials, contact our engineering team. || Yes — the PTFE composite seal is compatible with water, water-soluble coolant, and light hydraulic oil (up to ISO VG 32). For continuous water duty, derate pressure to 0.7 MPa and speed to 200 RPM to reduce seal wear. The AL6061 body has an anodized surface that provides good corrosion resistance for intermittent water exposure, but continuous immersion in aggressive coolant or caustic washdown requires additio || BP-2P-08-0001.html: Frequently Asked Questions || The standard version uses full AL6061 construction for higher strength and durability in a lightweight package. All versions are manufactured to the same ISO 9001:2015 quality system and undergo 100% pressure testing before shipment. The domestic and export designations refer only to packaging and documentation language — the product itself is identical. For full steel body options or custom materials, contact our engineering team. || Yes — the PTFE composite seal and O-ring are compatible with water, water-soluble coolant, and light hydraulic oil (up to ISO VG 32). For continuous water duty, derate pressure to 0.7 MPa and speed to 150 RPM to reduce seal wear. The AL6061 body has an anodized surface that provides good corrosion resistance for intermittent water exposure, but continuous immersion requires nickel plating or stainless steel (304/316) specificat || Template/variant also appears on 8 additional listed page(s).",none found,E1,"No certificate or declaration file with entity, scope, validity period, and applicable models was found. No signed test record, calibrated-instrument record, sample size, or acceptance threshold was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-003,Custom-design production lead-time claims,"Typical custom lead time: 10–14 days. || Custom designs: 3 weeks production + 5–7 days shipping || Custom flange patterns, including metric and imperial bolt circles, are available as custom orders with 10–14 day lead time. || Custom lead time is typically 14–21 days with free 3D STEP files. || The custom upgrade cost is typically $80–$200 more than BP-8P-0001, with a 10–14 day lead time.",B; E,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html; faq.html,20,yes,"Phase 1A source IDs: HR-002; HR-058; HR-063; HR-064; HR-112. || BP-1P-0003.html: ✅ Perfect — 0.08 kg aluminum || — || — || BP-1P-0006.html: ✅ Perfect — 265 g AL6061 || — || — || BP-2P-0001.html: ✅ Perfect — dual passage, rigid flange || — || — || BP-2P-0002.html: ✅ Perfect — 220 g, Ø64 mm || — || — || Template/variant also appears on 13 additional listed page(s).",downloads/BP-8P-0001.pdf,E3,,"See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Lead time is confirmed with each quotation and depends on model, quantity, customization, and destination.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-004,24-hour quotation or engineering-response claims,"Tell us your requirements and we'll provide a quote within 24 hours. || Begapunk engineers will check pressure, RPM, media, mounting, passage layout, and reply within 24 hours. || Fastest response — we reply within 24 hours || Most quotes are returned within 24 hours. || Send us your operating conditions — pressure, RPM, media type, and channel count — and our engineers will return a spec recommendation within 24 hours. || Typical response time: 24 hours. || You send requirements → We provide a detailed quote within 24 hours",B,about.html; blog-rotary-joint-selection.html; case-studies.html; contact.html; faq.html,8,yes,"Phase 1A source IDs: HR-016; HR-037; HR-073; HR-090; HR-096; HR-119; HR-125. || about.html: Start Your Custom Project || Tell us your requirements and we'll provide a quote within 24 hours. Free 3D file with every inquiry. || Precision rotary joint manufacturer based in Ningbo, China. Serving industrial automation OEMs and machine builders worldwide since 2010. || blog-rotary-joint-selection.html: Medium || Pressure || RPM || case-studies.html: Use continuous-duty speed, not only peak RPM. || Mounting || Threaded body or flange pattern? || contact.html: Request a Rotary Joint Quote || Send your machine requirements or drawing. Begapunk engineers will check pressure, RPM, media, mounting, passage layout, and reply within 24 hours. || Get in Touch || Template/variant also appears on 1 additional listed page(s).",downloads/Begapunk_Rotary_Joint_Installation_Manual.pdf,E3,"The manual is identifiable and dated, but it does not validate every exact failure time or performance outcome used on webpages.",,K3,medium,high,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,Draft: Begapunk aims to respond to complete technical inquiries promptly; response time depends on application complexity and the information provided.,Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-005,Standard product delivery claims,"Ships in 7 days. || 7-14 day delivery worldwide. || Ships in 7 days from Ningbo. || Standard delivery: Air freight, 7–14 days to most countries.",B; F,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html; products-p2.html; products.html; terms.html,19,yes,"Phase 1A source IDs: HR-004; HR-013; HR-098; HR-101. || BP-1P-0003.html: BP-1P-0003 — 1-in-1-out Rotary Joint || Single-passage threaded rotary joint for pneumatic and light fluid applications. Compact 0.08 kg aluminum body or 0.45 kg steel body. PTFE composite seal rated for 1 MPa and 500 RPM. Ships in 7 days from Ningbo. Used on handheld pneumatic tools, small rotary tables, and hose anti-twist connections where weight and simplicity matter. || Key Takeaways — Why Choose BP-1P-0003 || BP-1P-0006.html: BP-1P-0006 · 1-in-6-out (4mm) Rotary Joint || Single-inlet, six-outlet G1/8 threaded rotary joint with 4mm orifice for pneumatic and light fluid applications. PTFE composite seal, AL6061 body. Ø39 × 50 mm, 265 g. Distributes one air supply to six outlets — ideal for assembly stations, rotary tables, and small pneumatic manifolds. Ships in 7 days. || Key Takeaways — Why Choose BP-1P-0006 || BP-2P-0001.html: BP-2P-0001 · 2-in-2-out Rotary Joint || Dual-passage flange-mounted rotary joint for pneumatic and fluid transfer applications. AL6061 body with 45# steel shaft, PTFE composite seal. Two independent passages for clamp + release, gripper + vacuum, or air + signal on rotary tables and welding positioners. Ships in 7 days. || Key Takeaways — Why Choose BP-2P-0001 || BP-2P-0002.html: BP-2P-0002 · 2-in-3-out (4mm) Rotary Joint || Dual-inlet, triple-outlet G1/8 threaded rotary joint with 4mm orifice for pneumatic and light fluid applications. PTFE composite seal, AL6061 body. Ø64 × 61.2 mm, 220 g. Two independent inlets feed three outlets — ideal for CNC 4th/5th axis pneumatic lines, robotic welding turntables, and compact automated assembly stations. Ships in 7 days. || Key Takeaways — Why Choose BP-2P-0002 || Template/variant also appears on 15 additional listed page(s).",none found,E1,"The claim is repeated on webpages, which is not independent evidence.","See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Lead time is confirmed with each quotation and depends on model, quantity, customization, and destination.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-006,Product suitability template using 'performs best',Below are the machine types where this model performs best. || Below are the machine types where this model performs best — and the conditions where you should consider a custom design. || Below are the machine types where this model performs best — and the conditions where you should consider a multi-inlet design. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-capacity joint. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-passage or dust-proof joint. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or dust-proof joint. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or stainless-steel joint. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a larger-bore or higher-speed joint. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage joint. || Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage or higher-pressure joint.,A; E,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-4P-30-0001.html; BP-8P-0001.html,15,yes,"Phase 1A source IDs: HR-006; HR-038; HR-039; HR-040; HR-041; HR-042; HR-043; HR-044; HR-045; HR-046. || BP-1P-0003.html: Compatible Machine Types & Application Fit || BP-1P-0003 is designed for single-air-line applications where weight, simplicity, and cost matter more than multi-channel complexity. Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage joint. || ⚠️ Not Recommended For || BP-1P-0006.html: Compatible Machine Types & Application Fit || BP-1P-0006 is designed for applications where one air supply must feed multiple outlets on a rotating platform. The six-outlet design eliminates external manifolds and reduces fitting count. Below are the machine types where this model performs best — and the conditions where you should consider a multi-inlet design. || ⚠️ Not Recommended For || BP-2P-0001.html: Compatible Machine Types & Application Fit || BP-2P-0001 is designed for dual-function rotary applications where two independent air lines must rotate together. The flange mount provides the rigidity needed for machine-frame integration. Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage or higher-pressure joint. || ⚠️ Not Recommended For || BP-2P-0002.html: Compatible Machine Types & Application Fit || BP-2P-0002 is designed for compact multi-channel pneumatic applications where two independent air sources must rotate together. The threaded mount and 220 g weight make it ideal for robot arms and small machine tools. Below are the machine types where this model performs best. || ⚠️ Not Recommended For || Template/variant also appears on 11 additional listed page(s).",none found,E1,"The claim is repeated on webpages, which is not independent evidence.",,K3,medium,high,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,"Draft: This model is a potential starting point for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-007,General 100% pre-shipment pressure-test claims,100% pressure tested → Shipped to your door || Both versions use the same PTFE + Si3N4 ceramic seal and are 100% pressure tested before shipment. || Each unit is 100% pressure tested before shipment.,C,BP-3P-0007.html; BP-4P-30-0001.html; faq.html,3,yes,"Phase 1A source IDs: HR-021; HR-053; HR-070. || BP-3P-0007.html: Technical Specifications || BP-3P-0007 is a precision triple-passage G1/8 threaded rotary joint with a 4mm orifice and deep groove ball bearing support. Designed for compact automation and robot EOAT applications where low idle torque and zero leakage are critical. Each unit is 100% pressure tested before shipment. || Pneumatic Specifications || BP-4P-30-0001.html: Frequently Asked Questions || The standard version uses AL6061 Aluminum Alloy construction combining lightweight AL6061 body with high-strength 45# steel shaft. For full steel options, contact our team. All versions are ISO9001 certified. The export version includes English-language documentation, CE marking, and RoHS compliance certificate. The domestic version is identical in mechanical performance but ships with Chinese-language documentation. Both versions use the same PTFE + Si3N4 ceramic seal and are 100% pressure tested before shipment. || Yes — the PTFE + Si3N4 ceramic seal is compatible with water, water-soluble coolant, and light hydraulic oil (up to ISO VG 32). The Si3N4 ceramic filler provides exceptional wear resistance against hard water scale and coolant particles that would destroy a pure PTFE seal. For continuous water exposure, the anodized AL6061 body provides good cor || faq.html: You approve the design → We manufacture (typically 3 weeks) || 100% pressure tested → Shipped to your door || Start your custom inquiry →",none found,E1,"No signed test record, calibrated-instrument record, sample size, or acceptance threshold was found. The claim is repeated on webpages, which is not independent evidence.","See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Retain this statement only after its scope, conditions, date, and supporting document are confirmed.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-008,General zero-leakage claims,"Leakage Zero (100% pressure tested) || Custom order precision: Each unit is 100% pressure tested to zero leakage before shipment, ensuring reliable operation in critical automation cells || Each channel must be mechanically isolated with zero leakage tolerance. || Each unit is 100% pressure tested to zero leakage before shipment as part of the custom order process. || Leakage Zero leakage (100% pressure tested) || The PTFE composite seal provides chemical resistance across air, water, and coolant media with zero leakage guaranteed from 100% pressure testing.",A; C; E,BP-1P-0006.html; BP-2P-0002.html; BP-2P-30-0001.html; BP-3P-0007.html; BP-3P-S06-0001.html; applications.html,9,yes,"Phase 1A source IDs: HR-011; HR-065; HR-069; HR-071; HR-086; HR-114. || BP-1P-0006.html: Air, Water, Water-Soluble Coolant, Light Hydraulic Oil || Leakage || Zero (100% pressure tested) || BP-2P-0002.html: Air, Water, Water-Soluble Coolant, Light Hydraulic Oil || Leakage || Zero (100% pressure tested) || BP-2P-30-0001.html: Technical Specifications || BP-2P-30-0001 is a dual-passage rotary joint with a 30mm central bore, designed for medium-duty pneumatic and fluid transfer on automation rotary equipment. The deep groove ball bearing supports radial loads up to 5 N·m, making it suitable for side-mounted tooling and off-center fixtures. The PTFE composite seal provides chemical resistance across air, water, and coolant media with zero leakage guaranteed from 100% pressure testing. || Pneumatic Specifications || BP-3P-0007.html: Deep groove ball bearing support: ≤2 N·m idle torque with smooth rotation for delicate indexing at 200 RPM, reducing servo motor load and improving positioning accuracy || Custom order precision: Each unit is 100% pressure tested to zero leakage before shipment, ensuring reliable operation in critical automation cells || ?78.9 × 63.9 mm, 390 g envelope: Fits robot EOAT and desktop automation where every millimeter and gram matters — smaller than most 2-passage joints || Template/variant also appears on 2 additional listed page(s).",none found,E1,"No certificate or declaration file with entity, scope, validity period, and applicable models was found. No signed test record, calibrated-instrument record, sample size, or acceptance threshold was found. The claim is repeated on webpages, which is not independent evidence.","See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K5,critical,high,Pause the exact public statement; use only a bounded draft after manual approval.,Draft: Each unit is checked before shipment using Begapunk's documented test procedure. Acceptance criteria and test conditions are available for the applicable model on request.,Confirm whether a specific documented test or customer-approved case exists and whether it may be cited publicly.,"Signed test/case record with model, conditions, dates, sample size, method, and approval for public use.",yes-after-manual-approval,yes
P1B-009,One-minute 1.0 MPa zero-leakage test claims,"Both versions use the same PTFE composite seal and are 100% pressure tested at 1.0 MPa for 60 seconds before shipment. || Zero leakage from 100% pressure testing: Every unit is tested at 1.0 MPa before shipment — no drip, no bubble, no pressure decay || Zero leakage guarantee: Every unit is 100% pressure tested before shipment at 1.0 MPa for 60 seconds — no leaks, no exceptions",C,BP-2P-30-0001.html; BP-3P-S06-0001.html; BP-8P-0001.html,3,yes,"Phase 1A source IDs: HR-054; HR-126; HR-127. || BP-2P-30-0001.html: Ø76 × 70 mm compact envelope: Fits medium automation stations where space is limited but a 30mm bore is required for cable routing || Zero leakage from 100% pressure testing: Every unit is tested at 1.0 MPa before shipment — no drip, no bubble, no pressure decay || 4-M5 rotor/stator connections match standard fittings: Direct connection to M5 push-to-connect fittings without adapters, reducing leak points and assembly time || BP-3P-S06-0001.html: Compact for dense automation: At Ø54 x 99.8 mm and 0.41 kg, it fits small rotary tables and indexing fixtures where space between stations is limited || Zero leakage guarantee: Every unit is 100% pressure tested before shipment at 1.0 MPa for 60 seconds — no leaks, no exceptions || Gold-plated contacts for signal integrity: 6 circuits rated 2A at 24V DC / 250V AC with gold-plated copper alloy contacts ensure stable power and data transmission through 8,000+ hours || BP-8P-0001.html: ✅ Perfect — highest passage count in standard range || — || —",none found,E1,"No signed test record, calibrated-instrument record, sample size, or acceptance threshold was found. The claim is repeated on webpages, which is not independent evidence.","See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K5,critical,high,Pause the exact public statement; use only a bounded draft after manual approval.,Draft: Each unit is checked before shipment using Begapunk's documented test procedure. Acceptance criteria and test conditions are available for the applicable model on request.,Confirm whether a specific documented test or customer-approved case exists and whether it may be cited publicly.,"Signed test/case record with model, conditions, dates, sample size, method, and approval for public use.",yes-after-manual-approval,yes
P1B-010,"8,000-hour service-life claims","Service Life ≥8,000 hours (rated conditions) || Bearing life is rated at ≥8,000 hours under rated load. || Service Life 8,000 hours (rated conditions)",B; E,BP-1P-0006.html; BP-2P-0002.html; BP-2P-30-0001.html; BP-3P-0007.html; BP-3P-S06-0001.html,6,yes,"Phase 1A source IDs: HR-012; HR-036; HR-097. || BP-1P-0006.html: General || Service Life || ≥8,000 hours (rated conditions) || BP-2P-0002.html: General || Service Life || ≥8,000 hours (rated conditions) || BP-2P-30-0001.html: General || Service Life || ≥8,000 hours (rated conditions) || BP-3P-0007.html: General || Service Life || ≥8,000 hours (rated conditions) || Template/variant also appears on 1 additional listed page(s).",downloads/BP-1P-0003_参数表.xlsx,E2,"The spreadsheet repeats an 8,000-hour value for one model but has no author, date, test method, sample size, or approval record.",,K4,high,low,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Retain this statement only after its scope, conditions, date, and supporting document are confirmed.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
