claim_id,page,line_or_section,exact_claim,claim_category,risk_reason,occurrence_count,duplicate_root_claim,recommended_action,required_evidence,safe_replacement_draft,automatic_change_allowed,manual_approval_required
HR-001,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,"Certifications ISO 9001:2015, CE, RoHS",E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",16,"certifications iso 9001:2015, ce, rohs","Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-002,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,Typical custom lead time: 10–14 days.,E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",16,typical custom lead time: 10–14 days.,"Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-003,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",16,"we do not post 3d files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.","Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-004,BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,Ships in 7 days.,F - cross-page data conflict,Lead-time wording varies across pages and may represent conflicting standard/custom scopes.,15,ships in 7 days.,Define standard versus custom lead time and update consistently after approval.,"Dated order/production history, scope definition, stock policy, and quotation rules.","State separate typical standard and custom lead-time ranges, each with conditions and an as-of date.",no,yes
HR-005,BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,All versions are ISO9001 certified.,E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",7,all versions are iso9001 certified.,"Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-006,BP-2P-0002.html; BP-2P-08-0001.html; BP-3P-0006.html; BP-3P-0007.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,Below are the machine types where this model performs best.,E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",6,below are the machine types where this model performs best.,"Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-007,BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,"The export version includes English-language documentation, CE marking, and RoHS compliance certificate.",E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",6,"the export version includes english-language documentation, ce marking, and rohs compliance certificate.","Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-008,BP-1P-0006.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-3P-0004.html; BP-3P-0006.html,audit extraction; source line not recorded,"AL6061 material traceability, hardness test report, and RoHS compliance certificate.",E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",5,"al6061 material traceability, hardness test report, and rohs compliance certificate.","Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-009,BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html,audit extraction; source line not recorded,All versions are manufactured to the same ISO 9001:2015 quality system and undergo 100% pressure testing before shipment.,E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",4,all versions are manufactured to the same iso 9001:2015 quality system and undergo 100% pressure testing before shipment.,"Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-010,BP-2P-130-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html,audit extraction; source line not recorded,All versions are manufactured under ISO 9001:2015 quality management and carry CE and RoHS certifications.,E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",4,all versions are manufactured under iso 9001:2015 quality management and carry ce and rohs certifications.,"Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-011,BP-1P-0006.html; BP-2P-0002.html; BP-2P-30-0001.html; BP-3P-0007.html,audit extraction; source line not recorded,Leakage Zero (100% pressure tested),E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",4,leakage zero (100% pressure tested),"Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-012,BP-1P-0006.html; BP-2P-0002.html; BP-2P-30-0001.html; BP-3P-0007.html,audit extraction; source line not recorded,"Service Life ≥8,000 hours (rated conditions)",E - repeated public template,"The same public-template claim is repeated across pages, multiplying any unsupported statement.",4,"service life ≥8,000 hours (rated conditions)","Resolve the root template once, then propagate only after evidence and approval.",Single authoritative source record mapped to every affected page.,"Replace the repeated template statement with one approved, evidence-linked formulation.",no,yes
HR-013,products-p2.html; products.html,audit extraction; source line not recorded,7-14 day delivery worldwide.,F - cross-page data conflict,Lead-time wording varies across pages and may represent conflicting standard/custom scopes.,2,7-14 day delivery worldwide.,Define standard versus custom lead time and update consistently after approval.,"Dated order/production history, scope definition, stock policy, and quotation rules.","State separate typical standard and custom lead-time ranges, each with conditions and an as-of date.",no,yes
HR-014,BP-2P-0001.html; BP-2P-130-0001.html,audit extraction; source line not recorded,"AL6061 + 45# steel material traceability, hardness test report, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",2,"al6061 + 45# steel material traceability, hardness test report, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
