claim_id,page,section,before,after,reason,visible_content_updated,schema_updated,validation_status
P1B-004,about.html,RFQ call to action,Tell us your requirements and we'll provide a quote within 24 hours.,Begapunk aims to respond promptly to complete technical inquiries. Response time depends on the application complexity and the information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-004,case-studies.html,RFQ call to action,Tell us your requirements and we'll provide a quote within 24 hours.,Begapunk aims to respond promptly to complete technical inquiries. Response time depends on the application complexity and the information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-004,contact.html,RFQ introduction,"Begapunk engineers will check pressure, RPM, media, mounting, passage layout, and reply within 24 hours.",Begapunk aims to respond promptly to complete technical inquiries. Response time depends on the application complexity and the information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-004,contact.html,Contact method,Fastest response &mdash; we reply within 24 hours,Begapunk aims to respond promptly to complete technical inquiries. Response time depends on the application complexity and the information provided.,Remove unsupported absolute or precise claim.,no,no,pass
P1B-004,contact.html,RFQ form note,Typical response time: 24 hours.,Response time depends on the application complexity and the information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-004,faq.html,Quotation FAQ,Most quotes are returned within 24 hours.,Begapunk aims to respond promptly to complete technical inquiries. Response time depends on the application complexity and the information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-004,faq.html,Quotation process,You send requirements &rarr; We provide a detailed quote within 24 hours,You send complete requirements &rarr; Begapunk reviews the application and responds based on its complexity and the information provided.,Remove unsupported absolute or precise claim.,no,no,pass
P1B-004,blog-rotary-joint-selection.html,Selection guide call to action,"Send us your operating conditions — pressure, RPM, media type, and channel count — and our engineers will return a spec recommendation within 24 hours.","Send us your operating conditions — pressure, RPM, media type, and channel count — for engineering review. Response time depends on the application complexity and the information provided.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-1P-0003.html,Application fit introduction,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-1P-0006.html,Application fit introduction,Below are the machine types where this model performs best — and the conditions where you should consider a multi-inlet design.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-2P-0001.html,Application fit introduction,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage or higher-pressure joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-2P-0002.html,Application fit introduction,Below are the machine types where this model performs best.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-2P-08-0001.html,Application fit introduction,Below are the machine types where this model performs best.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-2P-130-0001.html,Application fit introduction,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or dust-proof joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-2P-16-0001.html,Application fit introduction,Below are the machine types where this model performs best &mdash; and the conditions where you should consider upgrading to a larger-bore or higher-speed joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,no,no,pass
P1B-006,BP-2P-30-0001.html,Application fit introduction,Below are the machine types where this model performs best &mdash; and the conditions where you should consider upgrading to a higher-capacity joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,no,no,pass
P1B-006,BP-2P-50-0001.html,Application fit introduction,Below are the machine types where this model performs best &mdash; and the conditions where you should consider upgrading to a higher-pressure or stainless-steel joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,no,no,pass
P1B-006,BP-2P-95-0001.html,Application fit introduction,Below are the machine types where this model performs best &mdash; and the conditions where you should consider a custom design.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,no,no,pass
P1B-006,BP-3P-0004.html,Application fit introduction,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-passage or dust-proof joint.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-3P-0006.html,Application fit introduction,Below are the machine types where this model performs best.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-3P-0007.html,Application fit introduction,Below are the machine types where this model performs best.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-4P-30-0001.html,Application fit introduction,Below are the machine types where this model performs best.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-006,BP-8P-0001.html,Application fit introduction,Below are the machine types where this model performs best.,"This model may be suitable for the listed applications when its passage count, mounting, medium, pressure, speed, and temperature limits match the machine requirements.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-1P-0006.html,Visible technical specifications,<tr><th>Leakage</th><td>Zero (100% pressure tested)</td></tr>,<tr><th>Leakage acceptance</th><td>Specified by model; confirm test criteria before ordering.</td></tr>,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-2P-0002.html,Visible technical specifications,<tr><th>Leakage</th><td>Zero (100% pressure tested)</td></tr>,<tr><th>Leakage acceptance</th><td>Specified by model; confirm test criteria before ordering.</td></tr>,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-2P-30-0001.html,Visible technical specifications,<tr><th>Leakage</th><td>Zero (100% pressure tested)</td></tr>,<tr><th>Leakage acceptance</th><td>Specified by model; confirm test criteria before ordering.</td></tr>,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-3P-0007.html,Visible technical specifications,<tr><th>Leakage</th><td>Zero (100% pressure tested)</td></tr>,<tr><th>Leakage acceptance</th><td>Specified by model; confirm test criteria before ordering.</td></tr>,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-3P-S06-0001.html,Visible technical specifications,<tr><th>Leakage</th><td>Zero leakage (100% pressure tested)</td></tr>,<tr><th>Leakage acceptance</th><td>Specified by model; confirm test criteria before ordering.</td></tr>,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-2P-30-0001.html,Product overview,"The PTFE composite seal provides chemical resistance across air, water, and coolant media with zero leakage guaranteed from 100% pressure testing.","Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-3P-0007.html,Key benefits,"Each unit is 100% pressure tested to zero leakage before shipment, ensuring reliable operation in critical automation cells","Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,BP-3P-0007.html,Material FAQ,Each unit is 100% pressure tested to zero leakage before shipment as part of the custom order process.,"Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-008,applications.html,Application guidance,Each channel must be mechanically isolated with zero leakage tolerance.,"Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-009,BP-2P-30-0001.html,Key benefits,"<strong>Zero leakage from 100% pressure testing:</strong> Every unit is tested at 1.0 MPa before shipment &mdash; no drip, no bubble, no pressure decay","<strong>Model-specific pressure and leakage checks:</strong> Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,no,no,pass
P1B-009,BP-3P-S06-0001.html,Key benefits,"<strong>Zero leakage guarantee:</strong> Every unit is 100% pressure tested before shipment at 1.0 MPa for 60 seconds &mdash; no leaks, no exceptions","<strong>Model-specific pressure and leakage checks:</strong> Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,no,no,pass
P1B-009,BP-8P-0001.html,Material FAQ,Both versions use the same PTFE composite seal and are 100% pressure tested at 1.0 MPa for 60 seconds before shipment.,"Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-023,about.html,Quality control,"1.5× rated pressure, 30 minutes, zero leakage pass.","Pressure and leakage checks are specified by model. Confirm the applicable test pressure, duration, and acceptance criteria with Begapunk before ordering.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-1P-0006.html,Installation or misuse example,"Within 48 hours, air leaks at 0.3 MPa from the seal interface.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-2P-0002.html,Installation or misuse example,"Within 48 hours, air leaks at 0.3 MPa from the seal interface.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-1P-0003.html,Installation or misuse example,"Within 48 hours, air leaks at 0.3 MPa.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-3P-0006.html,Installation or misuse example,"Within 48 hours, air leaks at 0.3 MPa.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-3P-0004.html,Installation or misuse example,"The AL6061 flange face warps by 0.08 mm, creating a leak path that sprays air at 0.8 MPa within 48 hours.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-8P-0001.html,Installation or misuse example,"Within 48 hours, air bleeds from passage 3 into passage 5, causing pressure interference and dropped workpieces.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-011,BP-4P-30-0001.html,Installation or misuse example,"Within 48 hours, air leaks at 0.4 MPa.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
