claim_id,page,section,original_topic,replacement_topic,topic_preserved,issue,recommended_action,action_taken
P1B-004,about.html,RFQ call to action,RFQ call to action,RFQ call to action,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,case-studies.html,RFQ call to action,RFQ call to action,RFQ call to action,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,contact.html,RFQ introduction,RFQ introduction,RFQ introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,contact.html,Contact method,Contact method,Contact method,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,contact.html,RFQ form note,RFQ form note,RFQ form note,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,faq.html,Quotation FAQ,Quotation FAQ,Quotation FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,faq.html,Quotation process,Quotation process,Quotation process,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-004,blog-rotary-joint-selection.html,Selection guide call to action,Selection guide call to action,Selection guide call to action,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-1P-0003.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-1P-0006.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-0002.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-08-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-130-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-16-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-30-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-50-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-2P-95-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-3P-0004.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-3P-0006.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-3P-0007.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-4P-30-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-006,BP-8P-0001.html,Application fit introduction,Application fit introduction,Application fit introduction,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-1P-0006.html,Visible technical specifications,Visible technical specifications,Visible technical specifications,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-2P-0002.html,Visible technical specifications,Visible technical specifications,Visible technical specifications,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-2P-30-0001.html,Visible technical specifications,Visible technical specifications,Visible technical specifications,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-3P-0007.html,Visible technical specifications,Visible technical specifications,Visible technical specifications,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-3P-S06-0001.html,Visible technical specifications,Visible technical specifications,Visible technical specifications,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-2P-30-0001.html,Product overview,Material and medium compatibility plus leakage testing,Version-specific sealing compatibility and test confirmation,yes,Phase 1C-A replaced the engineering topic with generic test wording; Phase 1C-A.1 restores the topic without restoring unsupported absolutes.,Retain the Phase 1C-A.1 qualified engineering wording.,Corrected in Phase 1C-A.1.
P1B-008,BP-3P-0007.html,Key benefits,Key benefits,Key benefits,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,BP-3P-0007.html,Material FAQ,Material FAQ,Material FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-008,applications.html,Application guidance,Channel isolation and cross-port leakage,Application-specific isolation and cross-port leakage acceptance,yes,Phase 1C-A replaced the engineering topic with generic test wording; Phase 1C-A.1 restores the topic without restoring unsupported absolutes.,Retain the Phase 1C-A.1 qualified engineering wording.,Corrected in Phase 1C-A.1.
P1B-009,BP-2P-30-0001.html,Key benefits,Key benefits,Key benefits,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-009,BP-3P-S06-0001.html,Key benefits,Key benefits,Key benefits,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-009,BP-8P-0001.html,Material FAQ,Seal and pressure-test equivalence across versions,Version-specific seal configuration and test criteria,yes,Phase 1C-A replaced the engineering topic with generic test wording; Phase 1C-A.1 restores the topic without restoring unsupported absolutes.,Retain the Phase 1C-A.1 qualified engineering wording.,Corrected in Phase 1C-A.1.
P1B-023,about.html,Quality control,Quality control,Quality control,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-1P-0006.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-2P-0002.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-1P-0003.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-3P-0006.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-3P-0004.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-8P-0001.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-4P-30-0001.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-011,BP-2P-95-0001.html,Installation or misuse example,Installation or misuse example,Installation or misuse example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-015,application-automation-rotary-tables.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-015,application-bottle-filling-capping.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-015,application-packaging-machinery.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-016,application-automation-rotary-tables.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-016,application-bottle-filling-capping.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
